Judul,Author,Genre,Year,Rating
Akuntansi Itu Mudah Panduan Praktis Belajar Akuntansi Bagi P,"PAOJAN MAS UD SUTANTO, SE., M.AKT",Akuntansi,2021.0,4.0
Akuntansi Biaya,"Drs. Harnanto, M.Soc. Sc., Akuntan",Akuntansi Biaya,2017.0,4.5
Pengantar Akuntansi Berdasarkan SAK ETAP dan IFRS Edisi Revisi,"Syaiful Bahri, S.E., M.SA, Akt.",Akuntansi,2019.0,5.0
Pengantar Akuntansi Berdasarkan Sak Etap Dan Ifrs,"Syaiful Bahri, S.E., M.SA, Akt.",Akuntansi,2015.0,5.0
Pengantar Akuntansi: Mudah Membuat Jurnal dengan Pendekatan Siklus Transaksi Edisi IFRS,"LM. Samryn, SE., Ak., M.M.",Akuntansi,2012.0,4.9
Mahir Akuntansi: Perusahaan Jasa Ed Revisi 2013,Temy Setiawan,Akuntansi,2013.0,4.8
Mahir Akuntansi: Perusahaan Dagang Edisi Revisi 2013,Temy Setiawan,Akuntansi,2013.0,5.0
Akuntansi Perpajakan,"Hery, S.E, M.Si",Akuntansi Perpajakan,2021.0,5.0
Teori Akuntansi dalam Hampiran Historiografis Taksonomis,Jan Hoesada,Akuntansi,2022.0,5.0
1700 Bank Soal Ekonomi -Akuntansi,Khoirul Anwar,Akuntansi,2014.0,5.0
AKUNTANSI PERSEROAN,Sri Wahyuni Latifah dan Dhaniel Syam,Akuntansi,2022.0,4.0
Akuntansi untuk Koperasi dan UKM,Tuti Trisnawani,Akuntansi,2016.0,5.0
Akuntabilitas Organisasi Nirlaba,Ihda Arifin Faiz,Akuntansi,2020.0,5.0
Excel 2013 Untuk Akuntani+Cd,Dwi Ninggar,Akuntansi,2019.0,4.5
Akuntansi Lembaga Zakat dan Wakaf,Yunida,Akuntansi,2017.0,4.8
Pengantar Akuntansi,"Indra Mahardika Putra, S.E., Ak., M.Ak.",Akuntansi,2017.0,5.0
Akuntansi Pemerintah Daerah Berbasis Akrual,Riyanto & Puji Agus,Akuntansi,2020.0,5.0
Akuntansi 1 Berdasarkan Prinsip Akuntansi Indonesia,Erhans,Akuntansi,2018.0,5.0
Siklus Akuntansi Satuan Kerja Perangkat Daerah SKPD,Sumini   Margono,Akuntansi,2017.0,5.0
Akuntansi Perusahaan Jasa&Dagang,Made Ary Meitriana Dkk,Akuntansi,2013.0,5.0
Pengantar Akuntansi 1,"Hery,se.,msi",Akuntansi,2012.0,5.0
Akuntansi Biaya,Neneng Hartati,AKuntansi Biaya,2017.0,5.0
Akuntansi Pengantar Pendekatan Terpadu Bk.1,Achmad Tjahjono,Akuntansi,2019.0,5.0
Pengantar Akuntansi 2,Hery,Akuntansi,2014.0,5.0
"Mahir Akuntansi Dasar: Ikhtisar Teori, Soal Latihan&Solusinya",Hery,Akuntansi,2019.0,5.0
Akuntansi Pemerintahan,Nuramalia & Achmad Fauzi,Akuntansi,2022.0,5.0
Akuntansi Keuangan Menengah 1 Perspektif Ifrs,Efraim Ferdinan Giri,Akuntansi Lanjutan,2017.0,4.8
Akuntansi Pengantar 2 Berbasis SAK,Slamet Sugiri,Akuntansi KEUangan,2019.0,5.0
Pengantar Akuntansi Berbasis Ifrs,Raja Adri Satriawan Surya,Akuntansi,2021.0,5.0
Akuntansi Perusahaan Manufaktur,Sigit Hermawan,Akuntansi,2013.0,5.0
Akuntansi Suatu Pengantar,Ken Sabardiman Soetjipto,Akuntansi,2016.0,5.0
Memahami Akuntansi Dasar Edisi 3: Pendekatan Teknis Siklus A,Drs. Hadri Mulya,Akuntansi,2013.0,5.0
Sistem Akuntansi Perusahaan Jasa Konstruksi,Ida Bagus Teddy Prianthara,Akuntansi,2020.0,5.0
Akuntansi Dasar Teori dan Praktik,Nanu Hasanuh,Akuntansi,2017.0,5.0
Akuntansi Keuangan Versi Ifrs+,Raja Adri Satriawan,Akuntansi KEUangan,2012.0,5.0
Dasar - Dasar Akuntansi Biaya Edisi 4,Abdul Halim,Akuntansi Biaya,2015.0,4.6
Cara Mudah Belajar Akuntansi Edisi 2 Buku 1,Sukrisno Agoes,Akuntansi,2021.0,5.0
Akuntansi Perhotelan: Pendekatan Sistem Informasi,Widanaputra,Akuntansi,2013.0,5.0
Buku Latihan Pengantar Akuntansi 1,"Yuliansyah,Reskino,Biana Inapti,Maryani",Akuntansi,2019.0,5.0
Akuntansi Perbankan Syariah: Berbasis Psak Syariah Edisi 2,Kautsar Riza Salman,Akuntansi Syariah,2017.0,5.0
Akuntansi Keuangan Lanjutan Edisi IFRS,Golrida Karyawati,Akuntansi Lanjutan,2019.0,5.0
"Pengantar Akuntansi: Sekilas Pandang Perbandingan SAK yang mengadopsi IFRS, SAK ETAP, dan SAK EMKM",Sofia Prima Dewi,Akuntansi,2019.0,5.0
Akuntansi Perbankan Edisi 3 Transaksi Dalam Valuta Rupiah,Taswan,Akuntansi Perbankan,2015.0,4.9
Akuntansi Biaya Edisi 4,Bastian Bustami,Akuntansi Biaya,2018.0,5.0
