judul,tahun_terbit,kategori,penulis,total_peminjam
Audit Internal Sawyer Buku 1 Ed.5,2005,Audit Keuangan," DITTENHOFER, SAWYER,Lawrence B.,Mortimer A.,SAWYER",6
Audit Teknologi Informasi & Assurance Buku 2 Ed.2,2009,Audit Keuangan," HALL, James A., Singleton, Tommie,HALL",6
Auditing & Pel.Verifikasi Jilid 1 Ed.9,2004,Audit Keuangan," ARENS, Alvin A., ELDER, Randal J.,ARENS",6
Commercial Bank Management: Manajemen Perbankan dari Teori ke Praktik,2013,Ekonomi Keuangan," Sarwono Sudarto, Sofyan Basir, Veithzal Rivai,Veithzal Rivai",6
Dasar-Dasar Perbankan,2003,Ekonomi Keuangan," Kasmir,Kasmir",6
Dua Dunia,2018,Retorika & Kumpulan Karya Sastra," Luna Torashyngu,Luna Torashyngu",6
English Grammar And How To Use It,2006,Bahasa Inggris," LOU, Robby,LOU",6
Hukum Perlindungan Konsumen di Indonesia,2012,"Perdagangan, Komunikasi, Transportasi"," Habloel Mawadi, M. Sadar, Moh. Taufik Makarao,Moh. Taufik Makarao",6
Import Top Secret : Cara Import Resmi Tanpa Ribet,2017,"Perdagangan, Komunikasi, Transportasi"," Indarniati, Ismiyadi,Ismiyadi",6
Kiat Sukses Ekspor Impor,2004,"Perdagangan, Komunikasi, Transportasi"," Agus, SURYANA,SURYANA",6
Manajemen Jilid 1 Edisi 13,2016,Manajemen," Mary Coulter, ROBBINS,ROBBINS,Stephen P.",6
Manajemen Keuangan Edisi Revisi: Kajian Praktik dan Teori dalam Mengelola Keuangan Organisasi Perusahaan,2014,Manajemen Keuangan," Ari Purwanti, Darsono Prawironegoro, Dewi Utari,Ari Purwanti",6
Manajemen Operasi dan Rantai Pasokan Buku 2 Edisi 14 (Operations and Supply Chain Management),2016,Manajemen Operasi," CHASE, JACOBS,CHASE,F.Robert,Richard B.",6
"Manajemen Risiko : Teori, Kasus, dan Solusi",2013,Manajemen Risiko," Irham Fahmi,Irham Fahmi",6
Manajemen Ritel Edisi 2: Strategi dan Implementasi Operasional Bisnis Ritel Modern di Indonesia,2010,Manajemen Strategi," Christina Whidya, UTAMI,UTAMI",6
